property_id,price,latitude,longitude,neighborhood,square_feet,beds,baths,year_built
south-004,523762.0,30.225438270293264,-97.77476495484629,South,1575.3,3,2.0,1980
south-005,388904.0,30.21918044447779,-97.78320340720852,South,1481.7,4,1.5,2000
south-006,731857.0,30.251532221754893,-97.74385439547683,South,2744.3,3,2.0,2021
south-007,429837.0,30.238073999958463,-97.75444172120035,South,1357.9,4,2.5,1996
south-008,571252.0,30.2389128946702,-97.77338540464106,South,1435.5,5,1.5,2016
south-009,609880.0,30.23285643630423,-97.77239748741007,South,1793.8,5,2.5,1967
south-010,641656.0,30.244114442360377,-97.76860113605098,South,1947.5,5,1.5,1986
south-011,636603.0,30.235000759537822,-97.77649402230188,South,1997.7,4,3.5,1991
south-012,584140.0,30.253838514780377,-97.75583980587771,South,1982.9,3,1.5,2015
south-013,535607.0,30.224988296752148,-97.7592797134222,South,2012.1,2,2.0,1963
south-014,641874.0,30.24334694633402,-97.76591021695607,South,1960.4,3,3.5,2002
south-015,489847.0,30.237373454839208,-97.76952779881479,South,1383.6,2,2.0,2009
south-016,524159.0,30.236373062608923,-97.75675657224306,South,1727.3,4,1.5,2011
south-017,381293.0,30.236588611792353,-97.76733605409281,South,772.0,4,3.0,1983
south-018,498225.0,30.250546151927477,-97.78380475264424,South,1693.8,3,2.5,1970
south-019,693232.0,30.23444808088754,-97.77947608659633,South,2212.8,3,3.0,1980
south-020,628780.0,30.250590804448688,-97.7594032929992,South,1709.5,5,3.5,2001
south-021,636832.0,30.238950938428644,-97.76254810640883,South,2034.4,5,3.5,2012
south-022,510283.0,30.243906255411353,-97.78060473260803,South,1725.4,5,3.0,1964
south-023,670063.0,30.23563357769107,-97.7594587761588,South,2178.6,3,2.5,2013
south-024,676978.0,30.22085163769912,-97.77060257855608,South,2165.4,4,3.0,1996
south-025,404705.0,30.24860105589949,-97.76426219570192,South,1357.8,2,1.5,2009
south-026,484518.0,30.22405095865557,-97.77604026249656,South,1556.4,5,3.5,1965
south-027,561809.0,30.240478853250018,-97.79062160557739,South,1981.0,3,1.5,1995
south-028,631883.0,30.24954588713486,-97.78856914449123,South,1977.8,4,3.0,2017
south-029,548705.0,30.220765650404914,-97.75671645856751,South,1601.7,5,3.5,1967
south-030,648036.0,30.242323873209696,-97.76038375599609,South,2004.7,4,2.5,2017
south-031,678695.0,30.237433089153534,-97.77777010738265,South,1947.8,5,3.5,2007
south-032,533814.0,30.24399841822219,-97.7795268247378,South,1788.0,3,1.5,2019
south-033,540774.0,30.228307705940686,-97.77740025015561,South,1797.5,2,1.5,2005
south-034,576587.0,30.246960645313933,-97.76228885415689,South,1935.0,4,2.5,1968
south-035,570621.0,30.255948877903116,-97.77184645519979,South,2203.6,3,2.5,1967
east-001,418484.0,30.265970923999088,-97.69821404383624,East,1008.5,3,2.5,1962
east-002,444965.0,30.250588498565932,-97.71714722661022,East,1177.1,4,2.5,1978
east-003,627265.0,30.25228510704497,-97.73079093092969,East,2034.6,4,3.5,2005
east-004,589571.0,30.26913447194545,-97.703682417364,East,1872.8,5,3.0,1977
east-005,594511.0,30.269770582350414,-97.71634205936583,East,1908.1,4,1.5,2002
east-006,610389.0,30.272384756278758,-97.71354367055001,East,1774.6,5,3.5,2008
east-007,597705.0,30.272465671378217,-97.72793754333948,East,2068.9,5,1.5,1960
east-008,414516.0,30.243997454921367,-97.7161043799614,East,1305.5,2,3.5,1974
east-009,676475.0,30.2748029574704,-97.69805082480958,East,2164.8,5,3.5,1967
east-010,562111.0,30.264117239762168,-97.69781772699388,East,1821.0,5,1.5,1967
east-011,566136.0,30.251675171386914,-97.7179932046836,East,1888.7,2,3.5,1987
east-012,462606.0,30.280486928480496,-97.72243963363839,East,1699.6,2,1.5,2004
east-013,500601.0,30.26382022014381,-97.72647815243262,East,2015.0,2,3.0,1960
east-014,608420.0,30.26019489785464,-97.7196277717016,East,2239.9,2,2.0,1965
east-015,505169.0,30.267957958020542,-97.70674270331463,East,1575.2,4,3.0,1975
east-016,597393.0,30.25170827964839,-97.70039499825084,East,2404.7,4,2.5,1978
east-017,575814.0,30.26381976222817,-97.70686101695358,East,1710.8,3,3.5,1969
east-018,723708.0,30.265624430216196,-97.70855828466014,East,2669.4,2,1.5,1967
east-019,715793.0,30.264767234368417,-97.70717482609687,East,2302.0,4,2.5,2008
east-020,468646.0,30.24634314907608,-97.7200564570169,East,1500.0,4,3.5,1973
east-021,526662.0,30.274953940329166,-97.71865882004707,East,1657.4,3,2.5,1989
east-022,592437.0,30.26244072545764,-97.70833206915526,East,1996.0,3,2.5,2003
east-023,594173.0,30.25472255596472,-97.70994294843874,East,2110.1,2,3.0,1981
east-024,775719.0,30.277898930559456,-97.70917631839643,East,2941.0,4,3.5,1991
east-025,645862.0,30.25798465842947,-97.70612728776938,East,2093.9,5,2.5,2005
east-026,502620.0,30.27051237319495,-97.70400973287317,East,1492.4,4,2.0,1990
east-027,610958.0,30.269085690213778,-97.71277805749992,East,2305.8,5,1.5,1964
east-028,604423.0,30.261979533686933,-97.7279173079561,East,2242.9,3,1.5,2006
east-029,408236.0,30.258524677900436,-97.72352253110436,East,1222.1,3,2.0,2003
east-030,315864.0,30.286783735110227,-97.70608604155682,East,750.0,2,2.5,2019
east-031,558636.0,30.26232408973572,-97.70910470274285,East,1615.0,5,3.0,1968
east-032,580705.0,30.268101807036125,-97.70398506583702,East,1813.8,4,3.0,1972
east-033,540960.0,30.256268654323137,-97.71798926090142,East,1560.9,3,3.5,2017
east-034,671187.0,30.2776343925286,-97.71398282140703,East,2411.0,5,3.0,1968
east-035,668763.0,30.27908246219503,-97.713255934297,East,2461.1,5,3.0,1962
north-001,459146.0,30.314071005555785,-97.74909183164962,North,1454.7,3,2.0,2016
north-002,628346.0,30.288451657255894,-97.74207909197594,North,2117.7,2,2.5,2021
north-003,491997.0,30.31222899310998,-97.73661303962905,North,1141.7,4,3.5,2012
north-004,582596.0,30.30092317562251,-97.72863835323191,North,1743.6,5,3.0,1998
north-005,712870.0,30.31500880098476,-97.73233223799272,North,2128.3,2,3.5,2012
north-006,786854.0,30.303218251776784,-97.7442903640352,North,2704.7,3,2.5,1986
north-007,462044.0,30.305376060642068,-97.74299917581908,North,1327.3,5,2.5,1990
north-008,632532.0,30.303110182503133,-97.72689833892382,North,1820.3,5,3.5,1998
north-009,672882.0,30.304123754698015,-97.73006414871253,North,2160.6,4,2.0,1961
north-010,624905.0,30.31235832230867,-97.74309725307839,North,1928.9,2,2.5,1995
north-011,633522.0,30.322025674900107,-97.72376845013446,North,1929.7,2,3.0,2020
north-012,642376.0,30.299592871057612,-97.73764401028137,North,1743.9,4,3.5,1991
north-013,409749.0,30.32797566877673,-97.74558953247487,North,1399.7,4,1.5,1967
north-014,542697.0,30.29899863118714,-97.73275867489923,North,1498.3,5,3.0,1985
north-015,806846.0,30.30618477622822,-97.74986583233361,North,2614.9,5,3.5,2006
north-016,554361.0,30.317313411589783,-97.73282506252161,North,1312.0,4,3.0,2019
north-017,444753.0,30.3048021500138,-97.72352997504753,North,1104.5,3,2.0,1985
north-018,612956.0,30.316866338341033,-97.73096710572457,North,1586.4,4,3.5,1976
north-019,489830.0,30.30069122753493,-97.73288251499571,North,1142.0,5,3.5,1963
north-020,435955.0,30.298456288147655,-97.72857561877166,North,1252.0,4,3.0,1960
north-021,641109.0,30.32306060964119,-97.73896587179412,North,1951.5,5,3.5,1974
north-022,637838.0,30.3142402266406,-97.73980107112448,North,1863.5,5,2.5,1976
north-023,540035.0,30.300634725527388,-97.75671502297837,North,1677.1,4,3.0,2001
north-024,793041.0,30.292568457634417,-97.73779435578577,North,2526.6,5,3.5,2015
north-025,594121.0,30.2999795076227,-97.72978394971771,North,1729.8,3,2.5,2014
north-026,604774.0,30.328474164837512,-97.73345235700806,North,2070.3,3,3.0,1986
north-027,532191.0,30.315537310902716,-97.75057604444956,North,1708.3,5,2.5,1968
north-028,615975.0,30.308432445395756,-97.71998901149992,North,1919.0,3,3.5,1973
north-029,459149.0,30.31287460237412,-97.74282142523079,North,1386.4,3,2.0,1972
north-030,644320.0,30.29477233615747,-97.7351580654383,North,1924.5,5,2.0,1987
north-031,498313.0,30.309265710072832,-97.75035086994414,North,1471.0,3,3.5,1977
north-032,424849.0,30.286917300923612,-97.72793640367053,North,1171.4,5,3.5,1978
north-033,584568.0,30.298148528100473,-97.72747772893317,North,1964.4,4,1.5,1978
north-034,692624.0,30.313781697388524,-97.73151067172864,North,1996.7,3,3.5,1960
north-035,556466.0,30.31562576681123,-97.7237344749229,North,1779.9,3,3.0,1987
